reduced test : 163, coverage : 0.9048582995951417, cross entropy : 0.015279852508489036, accuracy : 0.9938650306748467
reduced test : 164, coverage : 0.9048582995951417, cross entropy : 0.01502191887928867, accuracy : 0.9939024390243902
reduced test : 165, coverage : 0.9048582995951417, cross entropy : 0.014820390522090419, accuracy : 0.9939393939393939
reduced test : 166, coverage : 0.9048582995951417, cross entropy : 0.014613750364208089, accuracy : 0.9939759036144579
reduced test : 167, coverage : 0.9048582995951417, cross entropy : 0.014364071526982044, accuracy : 0.9940119760479041
reduced test : 168, coverage : 0.9048582995951417, cross entropy : 0.01440494068243186, accuracy : 0.9940476190476191
reduced test : 169, coverage : 0.9048582995951417, cross entropy : 0.014230326020698483, accuracy : 0.9940828402366864
reduced test : 170, coverage : 0.9048582995951417, cross entropy : 0.014144388464694508, accuracy : 0.9941176470588236
reduced test : 171, coverage : 0.9048582995951417, cross entropy : 0.013658425671782427, accuracy : 0.9941520467836257
reduced test : 172, coverage : 0.9048582995951417, cross entropy : 0.01348427745476578, accuracy : 0.9941860465116279
reduced test : 173, coverage : 0.9048582995951417, cross entropy : 0.013352138902781086, accuracy : 0.9942196531791907
reduced test : 174, coverage : 0.9048582995951417, cross entropy : 0.013685986370566366, accuracy : 0.9942528735632183
reduced test : 175, coverage : 0.9048582995951417, cross entropy : 0.013518948228813412, accuracy : 0.9942857142857143
reduced test : 176, coverage : 0.9048582995951417, cross entropy : 0.013006776585175716, accuracy : 0.9943181818181818
reduced test : 177, coverage : 0.9048582995951417, cross entropy : 0.012870868557883868, accuracy : 0.9943502824858758
reduced test : 178, coverage : 0.9048582995951417, cross entropy : 0.012650705807736914, accuracy : 0.9943820224719101
reduced test : 179, coverage : 0.9048582995951417, cross entropy : 0.012642001845879866, accuracy : 0.994413407821229
reduced test : 180, coverage : 0.9048582995951417, cross entropy : 0.012399767893606157, accuracy : 0.9944444444444445
reduced test : 181, coverage : 0.9048582995951417, cross entropy : 0.012053853998157935, accuracy : 0.994475138121547
reduced test : 182, coverage : 0.9048582995951417, cross entropy : 0.011944386431989074, accuracy : 0.9945054945054945
reduced test : 183, coverage : 0.9048582995951417, cross entropy : 0.01233307742307, accuracy : 0.994535519125683
reduced test : 184, coverage : 0.9048582995951417, cross entropy : 0.012274689589839644, accuracy : 0.9945652173913043
reduced test : 185, coverage : 0.9048582995951417, cross entropy : 0.012190463322032741, accuracy : 0.9945945945945946
reduced test : 186, coverage : 0.9048582995951417, cross entropy : 0.011990980734375156, accuracy : 0.9946236559139785
reduced test : 187, coverage : 0.9048582995951417, cross entropy : 0.011847160297676376, accuracy : 0.9946524064171123
reduced test : 188, coverage : 0.9048582995951417, cross entropy : 0.011561729959228354, accuracy : 0.9946808510638298
reduced test : 189, coverage : 0.9048582995951417, cross entropy : 0.01139170588079366, accuracy : 0.9947089947089947
reduced test : 190, coverage : 0.9048582995951417, cross entropy : 0.011347125950365163, accuracy : 0.9947368421052631
reduced test : 191, coverage : 0.9048582995951417, cross entropy : 0.011190337937096586, accuracy : 0.9947643979057592
reduced test : 192, coverage : 0.9048582995951417, cross entropy : 0.011312871031101391, accuracy : 0.9947916666666666
reduced test : 193, coverage : 0.9048582995951417, cross entropy : 0.011289759071898678, accuracy : 0.9948186528497409
reduced test : 194, coverage : 0.9048582995951417, cross entropy : 0.011125885550835246, accuracy : 0.9948453608247423
reduced test : 195, coverage : 0.9048582995951417, cross entropy : 0.011000072091071043, accuracy : 0.9948717948717949
reduced test : 196, coverage : 0.9048582995951417, cross entropy : 0.010918766062541543, accuracy : 0.9948979591836735
reduced test : 197, coverage : 0.9048582995951417, cross entropy : 0.010826361318006367, accuracy : 0.9949238578680203
reduced test : 198, coverage : 0.9048582995951417, cross entropy : 0.010680034691385227, accuracy : 0.9949494949494949
reduced test : 199, coverage : 0.9048582995951417, cross entropy : 0.010551502934971837, accuracy : 0.9949748743718593
reduced test : 200, coverage : 0.9048582995951417, cross entropy : 0.010460903768175997, accuracy : 0.995
reduced test : 201, coverage : 0.9048582995951417, cross entropy : 0.01020053122361517, accuracy : 0.9950248756218906
reduced test : 202, coverage : 0.9048582995951417, cross entropy : 0.009974989615169232, accuracy : 0.995049504950495
reduced test : 203, coverage : 0.9048582995951417, cross entropy : 0.009798077730394154, accuracy : 0.9950738916256158
reduced test : 204, coverage : 0.9048582995951417, cross entropy : 0.009814711535230555, accuracy : 0.9950980392156863
reduced test : 205, coverage : 0.9048582995951417, cross entropy : 0.009632120772675327, accuracy : 0.9951219512195122
reduced test : 206, coverage : 0.9048582995951417, cross entropy : 0.009519078181534314, accuracy : 0.9951456310679612
reduced test : 207, coverage : 0.9048582995951417, cross entropy : 0.009410100738361534, accuracy : 0.9951690821256038
reduced test : 208, coverage : 0.9048582995951417, cross entropy : 0.009301627586475998, accuracy : 0.9951923076923077
reduced test : 209, coverage : 0.9048582995951417, cross entropy : 0.009228884042630652, accuracy : 0.9952153110047847
